pmid,Title,node-A,normalized_node_A,edge,normalized_edge,node-B,normalized_node_B,Context,normalized_Context
33375621.0,The m6A RNA Demethylase ALKBH5 Promotes Radioresistance and Invasion Capability of Glioma Stem Cells.,ALKBH5,ALKBH5,promote,STIMULATES,Invasion Capability,Invasion Capability,Glioma Stem Cells,Glioma Stem Cells
,,,,,,,,,
34048572.0,Post-translational modification of RNA m6A demethylase ALKBH5 regulates ROS-induced DNA damage response.,dummy,dummy,induce post-translational modification of,induce post-translational modification of,ALKBH5,ALKBH5,Null,Null
34048572.0,Post-translational modification of RNA m6A demethylase ALKBH5 regulates ROS-induced DNA damage response.,ALKBH5,ALKBH5,regulate,AFFECTS,DNA damage response,cellular response to DNA damage stimulus,Null,Null
34048572.0,Post-translational modification of RNA m6A demethylase ALKBH5 regulates ROS-induced DNA damage response.,ROS,Q9SJQ6,induce,CAUSES,DNA damage response,cellular response to DNA damage stimulus,Null,Null
,,,,,,,,,
34134995.0,m6A demethylase ALKBH5 controls CD4+ T cell pathogenicity and promotes autoimmunity.,ALKBH5,ALKBH5,control,AFFECTS,pathogenicity,pathogenicity,CD4+ T cell,CD4+ T cell
34134995.0,m6A demethylase ALKBH5 controls CD4+ T cell pathogenicity and promotes autoimmunity.,ALKBH5,ALKBH5,promote,STIMULATES,Autoimmunity,Autoimmunity,CD4+ T cell,CD4+ T cell
,,,,,,,,,
34301762.0,M6A Demethylase ALKBH5 Regulates PD-L1 Expression and Tumor Immunoenvironment in Intrahepatic Cholangiocarcinoma.,ALKBH5,ALKBH5,regulate,AFFECTS,PD-L1,CD274,Intrahepatic Cholangiocarcinoma,CHOL(Cholangiocarcinoma)
34301762.0,M6A Demethylase ALKBH5 Regulates PD-L1 Expression and Tumor Immunoenvironment in Intrahepatic Cholangiocarcinoma.,ALKBH5,ALKBH5,regulate,AFFECTS,Tumor Immunoenvironment,Tumor Immune Microenvironment,Intrahepatic Cholangiocarcinoma,CHOL(Cholangiocarcinoma)
,,,,,,,,,
34491904.0,m6A demethylase ALKBH5 suppression contributes to esophageal squamous cell carcinoma progression.,ALKBH5 suppression,ALKBH5 suppression,contribute,AFFECTS,Progression,progression,Esophageal Squamous Cell Carcinoma,ESCA(Esophageal Carcinoma)
,,,,,,,,,
34513291.0,ALKBH5-mediated m6A mRNA methylation governs human embryonic stem cell cardiac commitment.,ALKBH5,ALKBH5,mediate,AFFECTS,m6A mRNA methylation,m6A,Human embryonic stem cell ,Human Embryonic Stem Cells
34513291.0,ALKBH5-mediated m6A mRNA methylation governs human embryonic stem cell cardiac commitment.,m6A mRNA methylation,m6A,govern,govern,Cardiac commitment,Cardiac commitment,Human embryonic stem cell ,Human Embryonic Stem Cells
,,,,,,,,,
29484125.0,Oncogene c-Myc promotes epitranscriptome m6A reader YTHDF1 expression in colorectal cancer.,Oncogene c-Myc,Oncogene c-Myc,promote,STIMULATES,YTHDF1,YTHDF1,Colorectal Cancer,COAD(Colon Adenocarcinoma)
,,,,,,,,,
31131257.0,YTHDF1 Regulates Tumorigenicity and Cancer Stem Cell-Like Activity in Human Colorectal Carcinoma.,YTHDF1,YTHDF1,regulate,AFFECTS,Tumorigenicity,Tumorigenicity,Human Colorectal Carcinoma,COAD(Colon Adenocarcinoma)
31131257.0,YTHDF1 Regulates Tumorigenicity and Cancer Stem Cell-Like Activity in Human Colorectal Carcinoma.,YTHDF1,YTHDF1,regulate,AFFECTS,Cancer Stem Cell-Like Activity,Cancer Stem Cell-Like Activity,Human Colorectal Carcinoma,COAD(Colon Adenocarcinoma)
,,,,,,,,,
33011193.0,m6A-YTHDF1-mediated TRIM29 upregulation facilitates the stem cell-like phenotype of cisplatin-resistant ovarian cancer cells.,YTHDF1,YTHDF1,bind,INTERACTS_WITH,m6a,GPM6A,cisplatin-resistant ovarian cancer cells,cisplatin-resistant ovarian cancer cells
33011193.0,m6A-YTHDF1-mediated TRIM29 upregulation facilitates the stem cell-like phenotype of cisplatin-resistant ovarian cancer cells.,m6a,GPM6A,mediate,AFFECTS,upregulation,Up-Regulation,cisplatin-resistant ovarian cancer cells,cisplatin-resistant ovarian cancer cells
33011193.0,m6A-YTHDF1-mediated TRIM29 upregulation facilitates the stem cell-like phenotype of cisplatin-resistant ovarian cancer cells.,upregulation,Up-Regulation,is on,LOCATES,TRIM29,TRIM29,cisplatin-resistant ovarian cancer cells,cisplatin-resistant ovarian cancer cells
33011193.0,m6A-YTHDF1-mediated TRIM29 upregulation facilitates the stem cell-like phenotype of cisplatin-resistant ovarian cancer cells.,TRIM29,TRIM29,facilitate,AUGMENTS,Stem cell-like phenotype,stem cell Phenotype,cisplatin-resistant ovarian cancer cells,cisplatin-resistant ovarian cancer cells
,,,,,,,,,
33605073.0,N(6)-methyladenosine-binding protein YTHDF1 suppresses EBV replication and promotes EBV RNA decay.,YTHDF1,YTHDF1,suppress,INHIBITS,replication,replication,EBV,"Herpesvirus 4, Human"
33605073.0,N(6)-methyladenosine-binding protein YTHDF1 suppresses EBV replication and promotes EBV RNA decay.,YTHDF1,YTHDF1,promote,STIMULATES,RNA decay,rna decay,EBV,"Herpesvirus 4, Human"
,,,,,,,,,
28867294.0,The RNA m6A Reader YTHDF2 Is Essential for the Post-transcriptional Regulation of the Maternal Transcriptome and Oocyte Competence.,YTHDF2,YTHDF2,regulate,AFFECTS,Maternal Transcriptome,Maternal Transcriptome,Null,Null
28867294.0,The RNA m6A Reader YTHDF2 Is Essential for the Post-transcriptional Regulation of the Maternal Transcriptome and Oocyte Competence.,YTHDF2,YTHDF2,regulate,AFFECTS,Oocyte Competence,Oocyte Competence,Null,Null
,,,,,,,,,
28938096.0,Gamete On for m6A: YTHDF2 Exerts Essential Functions in Female Fertility.,YTHDF2,YTHDF2,exert,exert, Essential Functions,Essential Functions,Female Fertility,female fertility
,,,,,,,,,
29855337.0,Ythdf2-mediated m6A mRNA clearance modulates neural development in mice.,Ythdf2,YTHDF2,mediate,AFFECTS,m6A mRNA clearance,m6A mRNA clearance,Neural development in mice,Neural development in mice
29855337.0,Ythdf2-mediated m6A mRNA clearance modulates neural development in mice.,m6A mRNA clearance,m6A mRNA clearance,modulate,AFFECTS,Neural development,Neural development,Neural development in mice,Neural development in mice
,,,,,,,,,
30065315.0,Suppression of m6A reader Ythdf2 promotes hematopoietic stem cell expansion.,dummy,dummy,induce suppression of,INHIBITS,Ythdf2,YTHDF2,hematopoietic stem cell.,hematopoietic stem cell.
30065315.0,Suppression of m6A reader Ythdf2 promotes hematopoietic stem cell expansion.,Ythdf2,YTHDF2,promote,STIMULATES,expansion,expansion,hematopoietic stem cell.,hematopoietic stem cell.
,,,,,,,,,
30150673.0,Loss of YTHDF2-mediated m6A-dependent mRNA clearance facilitates hematopoietic stem cell regeneration.,dummy,dummy,induce loss of,INHIBITS,YTHDF2,YTHDF2,Hematopoietic stem cell ,Hematopoietic Stem Cells
30150673.0,Loss of YTHDF2-mediated m6A-dependent mRNA clearance facilitates hematopoietic stem cell regeneration.,YTHDF2,YTHDF2,bind,INTERACTS_WITH,m6A,m6A,Hematopoietic stem cell ,Hematopoietic Stem Cells
30150673.0,Loss of YTHDF2-mediated m6A-dependent mRNA clearance facilitates hematopoietic stem cell regeneration.,m6A,m6A,facilitate,AUGMENTS,Regeneration,regeneration,Hematopoietic stem cell ,Hematopoietic Stem Cells
,,,,,,,,,
33156926.0,The mRNA m6A reader YTHDF2 suppresses proinflammatory pathways and sustains hematopoietic stem cell function.,YTHDF2,YTHDF2,suppress,INHIBITS,Proinflammatory pathways,Proinflammatory pathways,Hematopoietic stem cell function,Hematopoietic stem cell function
33156926.0,The mRNA m6A reader YTHDF2 suppresses proinflammatory pathways and sustains hematopoietic stem cell function.,YTHDF2,YTHDF2,sustain,MAINTAINS,Hematopoietic stem cell function,Hematopoietic stem cell function,Hematopoietic stem cell function,Hematopoietic stem cell function
,,,,,,,,,
33692441.0,N(6)-methyladeosine reader YTHDF2-mediated long noncoding RNA FENDRR degradation promotes cell proliferation in endometrioid endometrial carcinoma.,YTHDF2,YTHDF2,mediate,AFFECTS,long noncoding RNA FENDRR degradation,FENDRR degradation,Endometrioid Endometrial Carcinoma,UCEC(Uterine Corpus Endometrial Carcinoma)
33692441.0,N(6)-methyladeosine reader YTHDF2-mediated long noncoding RNA FENDRR degradation promotes cell proliferation in endometrioid endometrial carcinoma.,long noncoding RNA FENDRR degradation,FENDRR degradation,promote,STIMULATES,Cell Proliferation,cell population proliferation,Endometrioid Endometrial Carcinoma,UCEC(Uterine Corpus Endometrial Carcinoma)
,,,,,,,,,
34160549.0,The RNA m6A reader YTHDF2 controls NK cell antitumor and antiviral immunity.,YTHDF2,YTHDF2,control,AFFECTS,antitumor,antitumor,NK cell,"Killer Cells, Natural"
34160549.0,The RNA m6A reader YTHDF2 controls NK cell antitumor and antiviral immunity.,YTHDF2,YTHDF2,control,AFFECTS,antiviral Immunity,antiviral immunity,NK cell,"Killer Cells, Natural"
,,,,,,,,,
34200988.0,PBRM1 Cooperates with YTHDF2 to Control HIF-1alpha Protein Translation.,PBRM1,PBRM1,cooperate,INTERACTS_WITH,YTHDF2,YTHDF2,Null,Null
34200988.0,PBRM1 Cooperates with YTHDF2 to Control HIF-1alpha Protein Translation.,PBRM1,PBRM1,control,AFFECTS,HIF-1alpha Protein Translation,HIF-1alpha Protein Translation,Null,Null
34200988.0,PBRM1 Cooperates with YTHDF2 to Control HIF-1alpha Protein Translation.,YTHDF2,YTHDF2,control,AFFECTS,HIF-1alpha Protein Translation,HIF-1alpha Protein Translation,Null,Null
,,,,,,,,,
28106076.0,Cytoplasmic m6A reader YTHDF3 promotes mRNA translation.,YTHDF3,YTHDF3,promote,STIMULATES,mRNA translation,translation,Null,Null
,,,,,,,,,
29799838.0,Nuclear m6A reader YTHDC1 regulates alternative polyadenylation and splicing during mouse oocyte development.,YTHDC1,YTHDC1,regulate,AFFECTS,Alternative polyadenylation,alternative polyadenylation,mouse oocyte development.,mouse oocyte development.
29799838.0,Nuclear m6A reader YTHDC1 regulates alternative polyadenylation and splicing during mouse oocyte development.,YTHDC1,YTHDC1,regulate,AFFECTS,Splicing,splicing,mouse oocyte development.,mouse oocyte development.
,,,,,,,,,
33886094.0,Nuclear m6A reader YTHDC1 regulates the scaffold function of LINE1 RNA in mouse ESCs and early embryos.,YTHDC1,YTHDC1,regulate scaffold function of,AFFECTS,LINE1 RNA,LINE1,Mouse ESCs and early embryos,Mouse ESCs and early embryos
,,,,,,,,,
34273466.0,HNRNPA2B1 regulates tamoxifen- and fulvestrant-sensitivity and hallmarks of endocrine resistance in breast cancer cells.,HNRNPA2B1,HNRNPA2B1,regulate,AFFECTS,Tamoxifen-sensitivity,Tamoxifen-sensitivity,Breast Cancer cells,BRCA(Breast Invasive Carcinoma)
34273466.0,HNRNPA2B1 regulates tamoxifen- and fulvestrant-sensitivity and hallmarks of endocrine resistance in breast cancer cells.,HNRNPA2B1,HNRNPA2B1,regulate,AFFECTS,Fulvestrant-sensitivity,Fulvestrant-sensitivity,Breast Cancer cells,BRCA(Breast Invasive Carcinoma)
34273466.0,HNRNPA2B1 regulates tamoxifen- and fulvestrant-sensitivity and hallmarks of endocrine resistance in breast cancer cells.,HNRNPA2B1,HNRNPA2B1,regulate,AFFECTS,endocrine resistance,endocrine resistance,Breast Cancer cells,BRCA(Breast Invasive Carcinoma)
,,,,,,,,,
30514900.0,A novel m6A reader Prrc2a controls oligodendroglial specification and myelination.,Prrc2a,PRRC2A,control,AFFECTS,oligodendroglial specification,oligodendroglial specification,Null,Null
30514900.0,A novel m6A reader Prrc2a controls oligodendroglial specification and myelination.,Prrc2a,PRRC2A,control,AFFECTS,myelination,myelination,Null,Null
,,,,,,,,,
33087165.0,Activation of the KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis facilitates prostate cancer progression.,dummy,dummy,induce activation of,STIMULATES,KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis,KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
33087165.0,Activation of the KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis facilitates prostate cancer progression.,KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis,KDM5A/miRNA-495/YTHDF2/m6A-MOB3B axis,facilitate,AUGMENTS,Progression,progression,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
,,,,,,,,,
31031138.0,Targeting the RNA m6A Reader YTHDF2 Selectively Compromises Cancer Stem Cells in Acute Myeloid Leukemia.,YTHDF2,YTHDF2,compromise,COMPLICATES,Cancer Stem Cells,Cancer Stem Cells,Acute Myeloid Leukemia,LAML(Acute Myeloid Leukemia)
,,,,,,,,,
30781903.0,N6-Methyladenosine Landscape of Glioma Stem-Like Cells: METTL3 Is Essential for the Expression of Actively Transcribed Genes and Sustenance of the Oncogenic Signaling.,METTL3,METTL3,regulate,AFFECTS,Actively Transcribed Genes,Actively Transcribed Genes,Glioma Stem-Like Cells,Glioma Stem-Like Cells
30781903.0,N6-Methyladenosine Landscape of Glioma Stem-Like Cells: METTL3 Is Essential for the Expression of Actively Transcribed Genes and Sustenance of the Oncogenic Signaling.,METTL3,METTL3,regulate,AFFECTS,Sustenance of the Oncogenic Signaling,Sustenance of the Oncogenic signaling pathway,Glioma Stem-Like Cells,Glioma Stem-Like Cells
,,,,,,,,,
33461172.0,Dysregulation of USP18/FTO/PYCR1 signaling network promotes bladder cancer development and progression.,dummy,dummy,induce dysregulation of,induce dysregulation of,USP18/FTO/PYCR1 signaling,USP18/FTO/PYCR1 signaling pathway,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33461172.0,Dysregulation of USP18/FTO/PYCR1 signaling network promotes bladder cancer development and progression.,USP18/FTO/PYCR1 signaling,USP18/FTO/PYCR1 signaling pathway,promote,STIMULATES,Development,development,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33461172.0,Dysregulation of USP18/FTO/PYCR1 signaling network promotes bladder cancer development and progression.,USP18/FTO/PYCR1 signaling,USP18/FTO/PYCR1 signaling pathway,promote,STIMULATES,progression,progression,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
,,,,,,,,,
31606241.0,The RNA m6A methyltransferase METTL3 promotes pancreatic cancer cell proliferation and invasion.,METTL3,METTL3,promote,STIMULATES,Proliferation,cell population proliferation,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
31606241.0,The RNA m6A methyltransferase METTL3 promotes pancreatic cancer cell proliferation and invasion.,METTL3,METTL3,promote,STIMULATES,Invasion,Neoplasm Invasiveness,Pancreatic Cancer,PAAD(Pancreatic Adenocarcinoma)
,,,,,,,,,
31916488.0,METTL3-mediated m6A is required for murine oocyte maturation and maternal-to-zygotic transition.,METTL3,METTL3,mediate,AFFECTS,m6A,m6A,Murine oocyte ,Murine oocyte
31916488.0,METTL3-mediated m6A is required for murine oocyte maturation and maternal-to-zygotic transition.,m6A,m6A,required for,CAUSES,maturation,maturation,Murine oocyte ,Murine oocyte
31916488.0,METTL3-mediated m6A is required for murine oocyte maturation and maternal-to-zygotic transition.,m6A,m6A,required for,CAUSES,maternal-to-zygotic transition,maternal-to-zygotic transition,Murine oocyte ,Murine oocyte
,,,,,,,,,
32668092.0,Upregulated METTL3 in nasopharyngeal carcinoma enhances the motility of cancer cells.,Upregulated METTL3,Upregulated METTL3,enhance motility of,AUGMENTS,Cancer Cells,Cancer Cells,Nasopharyngeal Carcinoma,HNSC(Head and Neck Squamous Cell Carcinoma)
,,,,,,,,,
32782536.0,Knockdown of m6A methyltransferase METTL3 in gastric cancer cells results in suppression of cell proliferation.,dummy,dummy,induce knockdown of,INHIBITS,METTL3,METTL3,Gastric Cancer,STAD(Stomach adenocarcinoma)
32782536.0,Knockdown of m6A methyltransferase METTL3 in gastric cancer cells results in suppression of cell proliferation.,METTL3,METTL3,suppress,INHIBITS,Cell Proliferation,cell population proliferation,Gastric Cancer,STAD(Stomach adenocarcinoma)
,,,,,,,,,
33083017.0,A defined N6-methyladenosine (m6A) profile conferred by METTL3 regulates muscle stem cell/myoblast state transitions.,METTL3,METTL3,confer,PRODUCES,N6-methyladenosine (m6A),m6A,muscle stem cell/myoblast,muscle stem cell/myoblast
33083017.0,A defined N6-methyladenosine (m6A) profile conferred by METTL3 regulates muscle stem cell/myoblast state transitions.,N6-methyladenosine (m6A),m6A,regulate,AFFECTS,state transition,state transition,muscle stem cell/myoblast,muscle stem cell/myoblast
,,,,,,,,,
33681207.0,Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,dummy,dummy,induce deficiency of,INHIBITS,Mettl3,METTL3,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33681207.0,Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,Mettl3,METTL3,inhibit,INHIBITS,Progression,progression,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33681207.0,Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,Mettl3,METTL3,inhibit,INHIBITS,Angiogenesis,angiogenesis,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
,,,,,,,,,
33842490.0,Corrigendum: Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,dummy,dummy,induce deficiency of,INHIBITS,Mettl3,METTL3,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33842490.0,Corrigendum: Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,Mettl3,METTL3,inhibit,INHIBITS,Progression,progression,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
33842490.0,Corrigendum: Deficiency of Mettl3 in Bladder Cancer Stem Cells Inhibits Bladder Cancer Progression and Angiogenesis.,Mettl3,METTL3,inhibit,INHIBITS,Angiogenesis,angiogenesis,Bladder Cancer,BLCA(Bladder Urothelial Carcinoma)
,,,,,,,,,
32783360.0,The 18S rRNA m6A methyltransferase METTL5 promotes mouse embryonic stem cell differentiation.,METTL5,METTL5,promote,STIMULATES,differentiation,cell differentiation,Mouse embryonic stem cell ,Mouse Embryonic Stem Cells
,,,,,,,,,
26218273.0,The Demethylase Activity of FTO (Fat Mass and Obesity Associated Protein) Is Required for Preadipocyte Differentiation.,FTO,FTO,required for,CAUSES,Preadipocyte Differentiation,Preadipocyte Differentiation,Null,Null
,,,,,,,,,
31239444.0,m6A mRNA demethylase FTO regulates melanoma tumorigenicity and response to anti-PD-1 blockade.,FTO,FTO,regulate,AFFECTS,Tumorigenicity,Tumorigenicity,Melanoma,SKCM(Skin Cutaneous Melanoma)
31239444.0,m6A mRNA demethylase FTO regulates melanoma tumorigenicity and response to anti-PD-1 blockade.,FTO,FTO,regulate,AFFECTS,Response  to anti-PD-1 blockade,Response  to anti-PD-1 blockade,Melanoma,SKCM(Skin Cutaneous Melanoma)
,,,,,,,,,
34315853.0,The m6A mRNA demethylase FTO in granulosa cells retards FOS-dependent ovarian aging.,FTO,FTO,regulate,AFFECTS,FOS,FOS_family,granulosa cells ,Granulosa Cells
34315853.0,The m6A mRNA demethylase FTO in granulosa cells retards FOS-dependent ovarian aging.,FOS,FOS_family,retard,INHIBITS,Ovarian Aging,Ovarian Aging,granulosa cells ,Granulosa Cells
,,,,,,,,,
34288397.0,Conditional deficiency of m6A methyltransferase Mettl14 in substantia nigra alters dopaminergic neuron function.,dummy,dummy,induce deficiency of,INHIBITS,Mettl14,METTL14,Substantia nigra,Substantia Nigra
34288397.0,Conditional deficiency of m6A methyltransferase Mettl14 in substantia nigra alters dopaminergic neuron function.,Mettl14,METTL14,alter,AFFECTS,Dopaminergic neuron function,Dopaminergic neuron function,Substantia nigra,Substantia Nigra
,,,,,,,,,
34329695.0,EBV downregulates the m6A writer WTAP in EBV-associated gastric carcinoma.,EBV,"Herpesvirus 4, Human",downregulate,INHIBITS,WTAP,WTAP,EBV-associated gastric carcinoma,STAD(Stomach adenocarcinoma)
,,,,,,,,,
31799605.0,The human methyltransferase ZCCHC4 catalyses N6-methyladenosine modification of 28S ribosomal RNA.,ZCCHC4,ZCCHC4,catalyses,AUGMENTS,N6-methyladenosine,m6A,Null,Null
31799605.0,The human methyltransferase ZCCHC4 catalyses N6-methyladenosine modification of 28S ribosomal RNA.,N6-methyladenosine,m6A,is on,LOCATES,28S ribosomal RNA,"RNA, Ribosomal, 28S",Null,Null
,,,,,,,,,
31677788.0,ALKBH5-m6A-FOXM1 signaling axis promotes proliferation and invasion of lung adenocarcinoma cells under intermittent hypoxia.,ALKBH5-m6A-FOXM1 signaling axis,ALKBH5-m6A-FOXM1 signaling axis,promote,STIMULATES,Proliferation,cell population proliferation,Lung adenocarcinoma under intermittent hypoxia,LUAD(Lung Adenocarcinoma)
31677788.0,ALKBH5-m6A-FOXM1 signaling axis promotes proliferation and invasion of lung adenocarcinoma cells under intermittent hypoxia.,ALKBH5-m6A-FOXM1 signaling axis,ALKBH5-m6A-FOXM1 signaling axis,promote,STIMULATES,Invasion,Neoplasm Invasiveness,Lung adenocarcinoma under intermittent hypoxia,LUAD(Lung Adenocarcinoma)
,,,,,,,,,
32449584.0,m6A demethylase ALKBH5 promotes proliferation of esophageal squamous cell carcinoma associated with poor prognosis.,ALKBH5,ALKBH5,promote,STIMULATES,Proliferation,cell population proliferation,Esophageal Squamous Cell Carcinoma associated with poor prognosis,ESCA(Esophageal Carcinoma)
32449584.0,m6A demethylase ALKBH5 promotes proliferation of esophageal squamous cell carcinoma associated with poor prognosis.,proliferation,cell population proliferation,associate,ASSOCIATED_WITH,poor prognosis,Poor prognosis,Esophageal Squamous Cell Carcinoma associated with poor prognosis,ESCA(Esophageal Carcinoma)
,,,,,,,,,
33023892.0,The RNA m6A reader YTHDF2 maintains oncogene expression and is a targetable dependency in glioblastoma stem cells.,YTHDF2,YTHDF2,maintain,MAINTAINS,Oncogene expression,Oncogenes,Glioblastoma stem cells,Glioblastoma stem cells
,,,,,,,,,
33740664.0,METTL3 regulates skeletal muscle specific miRNAs at both transcriptional and post-transcriptional levels.,METTL3,METTL3,regulate,AFFECTS, miRNAs,MicroRNAs,skeletal muscle,"Muscle, Skeletal"
,,,,,,,,,
31328227.0,The human 18S rRNA m6A methyltransferase METTL5 is stabilized by TRMT112.,TRMT112,TRMT112,stabilize,MAINTAINS,METTL5,METTL5,Null,Null
,,,,,,,,,
33204330.0,YTHDF1-enhanced iron metabolism depends on TFRC m6A methylation.,YTHDF1,YTHDF1,enhance,AUGMENTS,Iron metabolism,Iron metabolism,Null,Null
33204330.0,YTHDF1-enhanced iron metabolism depends on TFRC m6A methylation.,Iron metabolism,Iron metabolism,depend on,INTERACTS_WITH,TFRC m6A methylation,TFRC m6A methylation,Null,Null
,,,,,,,,,
33150686.0,Silencing of METTL3 attenuates cardiac fibrosis induced by myocardial infarction via inhibiting the activation of cardiac fibroblasts.,METTL3,METTL3,attenuate,INHIBITS,Cardiac Fibrosis,Cardiac Fibrosis,Myocardial Infarction,Myocardial Infarction
33150686.0,Silencing of METTL3 attenuates cardiac fibrosis induced by myocardial infarction via inhibiting the activation of cardiac fibroblasts.,myocardial infarction,Myocardial Infarction,induce,CAUSES,Cardiac Fibrosis,Cardiac Fibrosis,Myocardial Infarction,Myocardial Infarction
33150686.0,Silencing of METTL3 attenuates cardiac fibrosis induced by myocardial infarction via inhibiting the activation of cardiac fibroblasts.,METTL3,METTL3,inhibite,inhibite,Cardiac Fibroblasts,Cardiac Fibroblasts,Myocardial Infarction,Myocardial Infarction
33150686.0,Silencing of METTL3 attenuates cardiac fibrosis induced by myocardial infarction via inhibiting the activation of cardiac fibroblasts.,Cardiac Fibroblasts,Cardiac Fibroblasts,regulate,AFFECTS,Cardiac Fibrosis,Cardiac Fibrosis,Myocardial Infarction,Myocardial Infarction
,,,,,,,,,
29423080.0,Downregulation of N6-methyladenosine binding YTHDF2 protein mediated by miR-493-3p suppresses prostate cancer by elevating N6-methyladenosine levels.,miR-493-3p,miR-493-3p,mediate downregulation of,INHIBITS,YTHDF2,YTHDF2,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
29423080.0,Downregulation of N6-methyladenosine binding YTHDF2 protein mediated by miR-493-3p suppresses prostate cancer by elevating N6-methyladenosine levels.,YTHDF2,YTHDF2,bind,INTERACTS_WITH,N6-methyladenosine,m6A,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
29423080.0,Downregulation of N6-methyladenosine binding YTHDF2 protein mediated by miR-493-3p suppresses prostate cancer by elevating N6-methyladenosine levels.,YTHDF2,YTHDF2,suppress,INHIBITS,Prostate Cancer,Prostatic Neoplasms,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
29423080.0,Downregulation of N6-methyladenosine binding YTHDF2 protein mediated by miR-493-3p suppresses prostate cancer by elevating N6-methyladenosine levels.,YTHDF2,YTHDF2,elevate,STIMULATES,N6-methyladenosine,m6A,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
29423080.0,Downregulation of N6-methyladenosine binding YTHDF2 protein mediated by miR-493-3p suppresses prostate cancer by elevating N6-methyladenosine levels.,N6-methyladenosine,m6A,suppress,INHIBITS,Prostate Cancer,Prostatic Neoplasms,Prostate Cancer,PRAD(Prostate Adenocarcinoma)
,,,,,,,,,
34199793.0,Loss of WTAP Impairs Early Parthenogenetic Embryo Development.,dummy,dummy,induce loos of ,induce loos of ,WTAP,WTAP,Early Parthenogenetic Embryo ,Early Parthenogenetic Embryo
34199793.0,Loss of WTAP Impairs Early Parthenogenetic Embryo Development.,WTAP,WTAP,impair,INHIBITS,Development,development,Early Parthenogenetic Embryo ,Early Parthenogenetic Embryo
,,,,,,,,,
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,Omeprazole,omeprazole,improve,STIMULATES,Chemosensitivity,chemosensitivity,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,Omeprazole,omeprazole,regulate,AFFECTS,FTO,FTO,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,FTO,FTO,activate,STIMULATES,mTORC1,mTORC1,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,FTO,FTO,upregulate,STIMULATES,DDIT3,DDIT3,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,mTORC1,mTORC1,improve,STIMULATES,chemosensitivity,chemosensitivity,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
33393595.0,Omeprazole improves chemosensitivity of gastric cancer cells by m6A demethylase FTO-mediated activation of mTORC1 and DDIT3 upregulation.,DDIT3,DDIT3,improve,STIMULATES,chemosensitivity,chemosensitivity,Gastric Cancer cells,STAD(Stomach adenocarcinoma)
,,,,,,,,,
32964498.0,m6A RNA methyltransferases METTL3/14 regulate immune responses to anti-PD-1 therapy.,METTL3,METTL3,regulate,AFFECTS,immune responses to anti-PD-1 therapy,immune responses to anti-PD-1 therapy,Null,Null
