"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"1972","37777158","Hepatocyte-specific Wtap deficiency promotes hepatocellular carcinoma by activating GRB2/ERK depending on downregulation of proteasome-related genes.","proteasome-related genes","regulate","GRB2/ERK","Hepatocytes","proteasome-related genes","AFFECTS","GRB2/ERK","Hepatocytes"
"1974","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","LIMK1","induce","m6A","Colorectal Cancer","LIMK1","CAUSES","m6A","COAD(Colon Adenocarcinoma)"
"1975","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","YTHDC2","recognize","m6A","Colorectal Cancer","YTHDC2","DIAGNOSES","m6A","COAD(Colon Adenocarcinoma)"
"1976","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","m6A","induce","5-FU chemoresistance","Colorectal Cancer","m6A","CAUSES","5-FU chemoresistance","COAD(Colon Adenocarcinoma)"
"1977","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","m6A","induce","endoplasmic reticulum stress","Colorectal Cancer","m6A","CAUSES","Endoplasmic Reticulum Stress","COAD(Colon Adenocarcinoma)"
"1978","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","m6A","induce","stress granule formation","Colorectal Cancer","m6A","CAUSES","stress granule formation","COAD(Colon Adenocarcinoma)"
"1979","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","endoplasmic reticulum stress","regulate","5-FU chemoresistance","Colorectal Cancer","Endoplasmic Reticulum Stress","AFFECTS","5-FU chemoresistance","COAD(Colon Adenocarcinoma)"
"1980","37778684","LIMK1 m6A-RNA methylation recognized by YTHDC2 induces 5-FU chemoresistance in colorectal cancer via endoplasmic reticulum stress and stress granule formation.","stress granule formation","regulate","5-FU chemoresistance","Colorectal Cancer","stress granule formation","AFFECTS","5-FU chemoresistance","COAD(Colon Adenocarcinoma)"
"1982","37781028","Low expression of m6A reader YTHDC1 promotes progression of ovarian cancer via PIK3R1/STAT3/GANAB axis.","YTHDC1","promote","Progression","Ovarian Cancer","YTHDC1","STIMULATES","progression","OV(Ovarian Serous Cystadenocarcinoma)"
"1983","37781028","Low expression of m6A reader YTHDC1 promotes progression of ovarian cancer via PIK3R1/STAT3/GANAB axis.","YTHDC1","regulate","PIK3R1/STAT3/GANAB axis","Ovarian Cancer","YTHDC1","AFFECTS","PIK3R1/STAT3/GANAB axis","OV(Ovarian Serous Cystadenocarcinoma)"
"1984","37781028","Low expression of m6A reader YTHDC1 promotes progression of ovarian cancer via PIK3R1/STAT3/GANAB axis.","PIK3R1/STAT3/GANAB axis","promote","Progression","Ovarian Cancer","PIK3R1/STAT3/GANAB axis","STIMULATES","progression","OV(Ovarian Serous Cystadenocarcinoma)"
"1986","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1.","FTO","fuel","vascular endothelial dysfunction","Diabetes","FTO","STIMULATES","Vascular Endothelial Dysfunction","Diabetes Mellitus"
"1987","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1.","FTO","erase","m6A","Diabetes","FTO","erase","m6A","Diabetes Mellitus"
"1988","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1.","m6A","is on","TNIP1","Diabetes","m6A","LOCATES","TNIP1","Diabetes Mellitus"
"1989","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1.","vascular endothelial dysfunction","associate","inflammation","Diabetes","Vascular Endothelial Dysfunction","ASSOCIATED_WITH","inflammatory response","Diabetes Mellitus"
"1990","37781923","FTO fuels diabetes-induced vascular endothelial dysfunction associated with inflammation by erasing m6A methylation of TNIP1.","TNIP1","regulate","vascular endothelial dysfunction","Diabetes","TNIP1","AFFECTS","Vascular Endothelial Dysfunction","Diabetes Mellitus"
"1992","37782793","A deregulated m6A writer complex axis driven by BRD4 confers an epitranscriptomic vulnerability in combined DNA repair-targeted therapy.","BRD4","drive","m6A writer complex axis","Combined DNA repair-targeted therapy","BRD4","STIMULATES","m6A writer complex","Combined DNA repair-targeted therapy"
"1993","37782793","A deregulated m6A writer complex axis driven by BRD4 confers an epitranscriptomic vulnerability in combined DNA repair-targeted therapy.","m6A writer complex axis","confer","epitranscriptomic vulnerability","Combined DNA repair-targeted therapy","m6A writer complex","PRODUCES","epitranscriptomic vulnerability","Combined DNA repair-targeted therapy"
"1995","37783390","Gastric cancer derived exosomal THBS1 enhanced Vgamma9Vdelta2 T-cell function through activating RIG-I-like receptor signaling pathway in a N6-methyladenosine methylation dependent manner.","exosomal THBS1","enhance","Vgamma9Vdelta2 T-cell function","Gastric Cancer","exosomal THBS1","AUGMENTS","Vgamma9Vdelta2 T-cell function","STAD(Stomach adenocarcinoma)"
"1996","37783390","Gastric cancer derived exosomal THBS1 enhanced Vgamma9Vdelta2 T-cell function through activating RIG-I-like receptor signaling pathway in a N6-methyladenosine methylation dependent manner.","exosomal THBS1","activate","RIG-I-like receptor signaling pathway","Gastric Cancer","exosomal THBS1","STIMULATES","RIG-I-like receptor signaling pathway","STAD(Stomach adenocarcinoma)"
"1997","37783390","Gastric cancer derived exosomal THBS1 enhanced Vgamma9Vdelta2 T-cell function through activating RIG-I-like receptor signaling pathway in a N6-methyladenosine methylation dependent manner.","N6-methyladenosine methylation","regulate","exosomal THBS1","Gastric Cancer","m6A","AFFECTS","exosomal THBS1","STAD(Stomach adenocarcinoma)"
"1998","37783390","Gastric cancer derived exosomal THBS1 enhanced Vgamma9Vdelta2 T-cell function through activating RIG-I-like receptor signaling pathway in a N6-methyladenosine methylation dependent manner.","RIG-I-like receptor signaling pathway","enhance","Vgamma9Vdelta2 T-cell function","Gastric Cancer","RIG-I-like receptor signaling pathway","AUGMENTS","Vgamma9Vdelta2 T-cell function","STAD(Stomach adenocarcinoma)"
"2000","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization.","HIF-1alpha","upregulate","IGF2BP1","Peripheral Nerve Injury Recovery","HIF1A","STIMULATES","IGF2BP1","Peripheral Nerve Injury Recovery"
"2001","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization.","IGF2BP1","facilitate","Peripheral Nerve Injury Recovery","Peripheral Nerve Injury Recovery","IGF2BP1","AUGMENTS","Peripheral Nerve Injury Recovery","Peripheral Nerve Injury Recovery"
"2002","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization.","IGF2BP1","enhance","SLC7A11 mRNA","Peripheral Nerve Injury Recovery","IGF2BP1","AUGMENTS","SLC7A11","Peripheral Nerve Injury Recovery"
"2003","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization.","SLC7A11 mRNA","stabilize","Stabilization","Peripheral Nerve Injury Recovery","SLC7A11","MAINTAINS","stabilization","Peripheral Nerve Injury Recovery"
"2004","37783915","HIF-1alpha-induced upregulation of m6A reader IGF2BP1 facilitates peripheral nerve injury recovery by enhancing SLC7A11 mRNA stabilization.","Stabilization","facilitate","Peripheral Nerve Injury Recovery","Peripheral Nerve Injury Recovery","stabilization","AUGMENTS","Peripheral Nerve Injury Recovery","Peripheral Nerve Injury Recovery"
"2006","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","USP47","inhibit","m6A","Regulatory T cells","USP47","INHIBITS","m6A","T-Lymphocytes, Regulatory"
"2007","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","m6A","regulate","c-Myc translation","Regulatory T cells","m6A","AFFECTS","MYC","T-Lymphocytes, Regulatory"
"2008","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","c-Myc translation","maintain","metabolic homeostasis","Regulatory T cells","MYC","MAINTAINS","metabolic homeostasis","T-Lymphocytes, Regulatory"
"2009","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","c-Myc translation","maintain","functional homeostasis","Regulatory T cells","MYC","MAINTAINS","functional homeostasis","T-Lymphocytes, Regulatory"
"2010","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","metabolic homeostasis","regulate","USP47","Regulatory T cells","metabolic homeostasis","AFFECTS","USP47","T-Lymphocytes, Regulatory"
"2011","37788092","USP47 inhibits m6A-dependent c-Myc translation to maintain regulatory T cell metabolic and functional homeostasis.","functional homeostasis","regulate","USP47","Regulatory T cells","functional homeostasis","AFFECTS","USP47","T-Lymphocytes, Regulatory"
"2013","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity.","WTAP-VIRMA","counteract","dsDNA","Null","WTAP-VIRMA","PREVENTS","dsdna","Null"
"2014","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity.","METTL3-METTL14 complex","bind","dsDNA","Null","METTL3-METTL14","INTERACTS_WITH","dsdna","Null"
"2015","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity.","WTAP-VIRMA","maintain","N6-adenosine methylation activity","Null","WTAP-VIRMA","MAINTAINS","m6A","Null"
"2016","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity.","METTL3-METTL14 complex","write","m6A","Null","METTL3-METTL14","write","m6A","Null"
"2017","37789010","WTAP-VIRMA counteracts dsDNA binding of the m6A writer METTL3-METTL14 complex and maintains N6-adenosine methylation activity.","m6A","regulate","N6-adenosine methylation activity","Null","m6A","AFFECTS","m6A","Null"
"2019","37792239","N6-methyladenosine (m6A) reader YTHDF2 accelerates endothelial cells ferroptosis in cerebrovascular atherosclerosis.","YTHDF2","accelerate","Endothelial cells ferroptosis","Cerebrovascular Atherosclerosis","YTHDF2","STIMULATES","Endothelial cells ferroptosis","Cerebrovascular Atherosclerosis"
"2020","37792239","N6-methyladenosine (m6A) reader YTHDF2 accelerates endothelial cells ferroptosis in cerebrovascular atherosclerosis.","YTHDF2","bind","m6A","Cerebrovascular Atherosclerosis","YTHDF2","INTERACTS_WITH","m6A","Cerebrovascular Atherosclerosis"
"2021","37792239","N6-methyladenosine (m6A) reader YTHDF2 accelerates endothelial cells ferroptosis in cerebrovascular atherosclerosis.","m6A","regulate","Endothelial cells ferroptosis","Cerebrovascular Atherosclerosis","m6A","AFFECTS","Endothelial cells ferroptosis","Cerebrovascular Atherosclerosis"
"2023","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","m6A modification","mediate","CBX8","Colon Cancer","m6A","AFFECTS","CBX8","COAD(Colon Adenocarcinoma)"
"2024","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","CBX8","regulate","stemness","Colon Cancer","CBX8","AFFECTS","Stemness","COAD(Colon Adenocarcinoma)"
"2025","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","CBX8","regulate","chemosensitivity","Colon Cancer","CBX8","AFFECTS","chemosensitivity","COAD(Colon Adenocarcinoma)"
"2026","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","CBX8","upregulate","LGR5","Colon Cancer","CBX8","STIMULATES","LGR5","COAD(Colon Adenocarcinoma)"
"2027","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","LGR5","regulate","stemness","Colon Cancer","LGR5","AFFECTS","Stemness","COAD(Colon Adenocarcinoma)"
"2028","37803374","Retraction Note: m6A modification-mediated CBX8 induction regulates stemness and chemosensitivity of colon cancer via upregulation of LGR5.","LGR5","regulate","chemosensitivity","Colon Cancer","LGR5","AFFECTS","chemosensitivity","COAD(Colon Adenocarcinoma)"
"2030","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","dummy","inhibit","METTL3","Alveolar Epithelial Cells","dummy","INHIBITS","METTL3","Alveolar Epithelial Cells"
"2031","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","METTL3","alleviate","Apoptosis","Alveolar Epithelial Cells","METTL3","INHIBITS","apoptotic process","Alveolar Epithelial Cells"
"2032","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","METTL3","alleviate","Acute Lung Injury","Alveolar Epithelial Cells","METTL3","INHIBITS","Acute Lung Injury","Alveolar Epithelial Cells"
"2033","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","METTL3","restore","Neprilysin","Alveolar Epithelial Cells","METTL3","restore","MME","Alveolar Epithelial Cells"
"2034","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","Neprilysin","regulate","Apoptosis","Alveolar Epithelial Cells","MME","AFFECTS","apoptotic process","Alveolar Epithelial Cells"
"2035","37805166","Inhibition of METTL3 alleviated LPS-induced alveolar epithelial cell apoptosis and acute lung injury via restoring neprilysin expression.","Neprilysin","regulate","Acute Lung Injury","Alveolar Epithelial Cells","MME","AFFECTS","Acute Lung Injury","Alveolar Epithelial Cells"
"2037","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression.","KIAA1429","promote","Ovarian Cancer","Ovarian Cancer","VIRMA","STIMULATES","Ovarian Neoplasms","OV(Ovarian Serous Cystadenocarcinoma)"
"2038","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression.","KIAA1429","promote","Aerobic Glycolysis","Ovarian Cancer","VIRMA","STIMULATES","aerobic glycolysis","OV(Ovarian Serous Cystadenocarcinoma)"
"2039","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression.","KIAA1429","enhance","ENO1","Ovarian Cancer","VIRMA","AUGMENTS","ENO1","OV(Ovarian Serous Cystadenocarcinoma)"
"2040","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression.","ENO1","regulate","Ovarian Cancer","Ovarian Cancer","ENO1","AFFECTS","Ovarian Neoplasms","OV(Ovarian Serous Cystadenocarcinoma)"
"2041","37807062","N6-methyladenosine methyltransferase KIAA1429 promoted ovarian cancer aerobic glycolysis and progression through enhancing ENO1 expression.","ENO1","regulate","Aerobic Glycolysis","Ovarian Cancer","ENO1","AFFECTS","aerobic glycolysis","OV(Ovarian Serous Cystadenocarcinoma)"
"2043","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53.","Remimazolam","relieve","injury","Human embryo liver cell line","remimazolam","relieve","Wounds and Injuries","Human embryo liver cell line"
"2044","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53.","Remimazolam","target","METTL3","Human embryo liver cell line","remimazolam","INTERACTS_WITH","METTL3","Human embryo liver cell line"
"2045","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53.","METTL3","mediate","m6A","Human embryo liver cell line","METTL3","AFFECTS","m6A","Human embryo liver cell line"
"2046","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53.","m6A","modify","P53","Human embryo liver cell line","m6A","AFFECTS","TP53","Human embryo liver cell line"
"2047","37809663","Remimazolam relieved the injury of hypoxia/reperfusion treated human embryo liver cell line through the targeting METTL3 mediated m6A modification of P53.","P53","regulate","injury","Human embryo liver cell line","TP53","AFFECTS","Wounds and Injuries","Human embryo liver cell line"
"2049","37810561","Retracted: PCBP2 Reduced Oxidative Stress-Induced Apoptosis in Glioma through cGAS/STING Pathway by METTL3-Mediated m6A Modification.","PCBP2","reduce","Oxidative Stress-Induced Apoptosis","Glioma","PCBP2","INHIBITS","Oxidative Stress-Induced Apoptosis","Glioma"
"2050","37810561","Retracted: PCBP2 Reduced Oxidative Stress-Induced Apoptosis in Glioma through cGAS/STING Pathway by METTL3-Mediated m6A Modification.","PCBP2","regulate","cGAS/STING Pathway","Glioma","PCBP2","AFFECTS","cGAS/STING Pathway","Glioma"
"2051","37810561","Retracted: PCBP2 Reduced Oxidative Stress-Induced Apoptosis in Glioma through cGAS/STING Pathway by METTL3-Mediated m6A Modification.","METTL3","mediate","m6A Modification","Glioma","METTL3","AFFECTS","m6A","Glioma"
"2052","37810561","Retracted: PCBP2 Reduced Oxidative Stress-Induced Apoptosis in Glioma through cGAS/STING Pathway by METTL3-Mediated m6A Modification.","m6A Modification","regulate","cGAS/STING Pathway","Glioma","m6A","AFFECTS","cGAS/STING Pathway","Glioma"
"2054","37811274","Retracted: Inhibition of TLR4 Suppresses the Inflammatory Response in Inflammatory Bowel Disease (IBD) by Modulating the PDK1-Induced Metabolism Reprogramming via a m6A-Denpendent Manner.","TLR4","suppress","Inflammatory Response","Inflammatory Bowel Disease (IBD)","TLR4","INHIBITS","inflammatory response","Inflammatory Bowel Disease (IBD)"
"2055","37811274","Retracted: Inhibition of TLR4 Suppresses the Inflammatory Response in Inflammatory Bowel Disease (IBD) by Modulating the PDK1-Induced Metabolism Reprogramming via a m6A-Denpendent Manner.","TLR4","modulate","PDK1-Induced Metabolism Reprogramming","Inflammatory Bowel Disease (IBD)","TLR4","AFFECTS","PDK1-Induced Metabolism Reprogramming","Inflammatory Bowel Disease (IBD)"
"2056","37811274","Retracted: Inhibition of TLR4 Suppresses the Inflammatory Response in Inflammatory Bowel Disease (IBD) by Modulating the PDK1-Induced Metabolism Reprogramming via a m6A-Denpendent Manner.","m6A","regulate","PDK1-Induced Metabolism Reprogramming","Inflammatory Bowel Disease (IBD)","m6A","AFFECTS","PDK1-Induced Metabolism Reprogramming","Inflammatory Bowel Disease (IBD)"
"2057","37811274","Retracted: Inhibition of TLR4 Suppresses the Inflammatory Response in Inflammatory Bowel Disease (IBD) by Modulating the PDK1-Induced Metabolism Reprogramming via a m6A-Denpendent Manner.","PDK1-Induced Metabolism Reprogramming","regulate","Inflammatory Response","Inflammatory Bowel Disease (IBD)","PDK1-Induced Metabolism Reprogramming","AFFECTS","inflammatory response","Inflammatory Bowel Disease (IBD)"
"2059","37812019","Neural stem cell-derived exosomal FTO protects neuron from microglial inflammatory injury by inhibiting microglia NRF2 mRNA m6A modification.","exosomal FTO","protect","Microglial Inflammatory Injury","Neural Stem Cells","exosomal FTO","PREVENTS","Microglial Inflammatory Injury","Neural Stem Cells"
"2060","37812019","Neural stem cell-derived exosomal FTO protects neuron from microglial inflammatory injury by inhibiting microglia NRF2 mRNA m6A modification.","exosomal FTO","inhibit","m6A modification","Neural Stem Cells","exosomal FTO","INHIBITS","m6A","Neural Stem Cells"
"2061","37812019","Neural stem cell-derived exosomal FTO protects neuron from microglial inflammatory injury by inhibiting microglia NRF2 mRNA m6A modification.","m6A modification","is on","NRF2 mRNA","Neural Stem Cells","m6A","LOCATES","NFE2L2","Neural Stem Cells"
"2062","37812019","Neural stem cell-derived exosomal FTO protects neuron from microglial inflammatory injury by inhibiting microglia NRF2 mRNA m6A modification.","NRF2 mRNA","regulate","Microglial Inflammatory Injury","Neural Stem Cells","NFE2L2","AFFECTS","Microglial Inflammatory Injury","Neural Stem Cells"
"2064","37655555","Homeobox-D 1 and FTO form a transcriptional-epigenetic feedback loop to promote head and neck cancer proliferation.","Homeobox-D 1","form","FTO","Head and Neck Cancer","Homeobox-D 1","form","FTO","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2065","37655555","Homeobox-D 1 and FTO form a transcriptional-epigenetic feedback loop to promote head and neck cancer proliferation.","FTO","form","Homeobox-D 1","Head and Neck Cancer","FTO","form","Homeobox-D 1","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2066","37655555","Homeobox-D 1 and FTO form a transcriptional-epigenetic feedback loop to promote head and neck cancer proliferation.","Homeobox-D 1","promote","proliferation","Head and Neck Cancer","Homeobox-D 1","STIMULATES","cell population proliferation","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2067","37655555","Homeobox-D 1 and FTO form a transcriptional-epigenetic feedback loop to promote head and neck cancer proliferation.","FTO","promote","proliferation","Head and Neck Cancer","FTO","STIMULATES","cell population proliferation","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2069","37656787","Mettl3-catalyzed m6A regulates histone modifier and modification expression in self-renewing somatic tissue.","Mettl3","catalyze","m6A","Self-renewing somatic tissue","METTL3","catalyze","m6A","Self-renewing somatic tissue"
"2070","37656787","Mettl3-catalyzed m6A regulates histone modifier and modification expression in self-renewing somatic tissue.","m6A","regulate","histone modifier","Self-renewing somatic tissue","m6A","AFFECTS","histone modifier","Self-renewing somatic tissue"
"2071","37656787","Mettl3-catalyzed m6A regulates histone modifier and modification expression in self-renewing somatic tissue.","m6A","regulate","modification expression","Self-renewing somatic tissue","m6A","AFFECTS","modification expression","Self-renewing somatic tissue"
"2073","37658413","METTL3-induced lncRNA GBAP1 promotes hepatocellular carcinoma progression by activating BMP/SMAD pathway.","METTL3","induce","lncRNA GBAP1","Hepatocellular Carcinoma","METTL3","CAUSES","GBAP1","LIHC(Liver Hepatocellular Carcinoma)"
"2074","37658413","METTL3-induced lncRNA GBAP1 promotes hepatocellular carcinoma progression by activating BMP/SMAD pathway.","lncRNA GBAP1","promote","Hepatocellular Carcinoma Progression","Hepatocellular Carcinoma","GBAP1","STIMULATES","Hepatocellular Carcinoma Progression","LIHC(Liver Hepatocellular Carcinoma)"
"2075","37658413","METTL3-induced lncRNA GBAP1 promotes hepatocellular carcinoma progression by activating BMP/SMAD pathway.","lncRNA GBAP1","activate","BMP/SMAD pathway","Hepatocellular Carcinoma","GBAP1","STIMULATES","BMP/SMAD pathway","LIHC(Liver Hepatocellular Carcinoma)"
"2076","37658413","METTL3-induced lncRNA GBAP1 promotes hepatocellular carcinoma progression by activating BMP/SMAD pathway.","BMP/SMAD pathway","promote","Hepatocellular Carcinoma Progression","Hepatocellular Carcinoma","BMP/SMAD pathway","STIMULATES","Hepatocellular Carcinoma Progression","LIHC(Liver Hepatocellular Carcinoma)"
"2078","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","METTL3","stabilize","super enhancers-lncRNA SUCLG2-AS1","Nasopharyngeal Carcinoma","METTL3","MAINTAINS","super enhancers-lncRNA SUCLG2-AS1","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2079","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","super enhancers-lncRNA SUCLG2-AS1","mediate","formation of a long-range chromatin loop","Nasopharyngeal Carcinoma","super enhancers-lncRNA SUCLG2-AS1","AFFECTS","formation of a long-range chromatin loop","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2080","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","formation of a long-range chromatin loop","between","enhancers","Nasopharyngeal Carcinoma","formation of a long-range chromatin loop","between","enhancers","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2081","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","formation of a long-range chromatin loop","between","promoters of SOX2","Nasopharyngeal Carcinoma","formation of a long-range chromatin loop","between","promoters of SOX2","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2082","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","enhancers","in","metastasis and radiosensitivity","Nasopharyngeal Carcinoma","enhancers","in","metastasis and radiosensitivity","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2083","37658588","METTL3-stabilized super enhancers-lncRNA SUCLG2-AS1 mediates the formation of a long-range chromatin loop between enhancers and promoters of SOX2 in metastasis and radiosensitivity of nasopharyngeal carcinoma.","promoters of SOX2","in","metastasis and radiosensitivity","Nasopharyngeal Carcinoma","promoters of SOX2","in","metastasis and radiosensitivity","HNSC(Head and Neck Squamous Cell Carcinoma)"
"2085","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","Hypoxia","promote","Immune Escape","Pancreatic Cancer Cells","Hypoxia","STIMULATES","Immune Escape","PAAD(Pancreatic Adenocarcinoma)"
"2086","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","Hypoxia","regulate","lncRNA NNT-AS1","Pancreatic Cancer Cells","Hypoxia","AFFECTS","NNT-AS1","PAAD(Pancreatic Adenocarcinoma)"
"2087","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","lncRNA NNT-AS1","regulate","METTL3","Pancreatic Cancer Cells","NNT-AS1","AFFECTS","METTL3","PAAD(Pancreatic Adenocarcinoma)"
"2088","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","METTL3","regulate","HuR","Pancreatic Cancer Cells","METTL3","AFFECTS","ELAVL1","PAAD(Pancreatic Adenocarcinoma)"
"2089","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","HuR","regulate","ITGB1 m6A modification","Pancreatic Cancer Cells","ELAVL1","AFFECTS","ITGB1 m6A modification","PAAD(Pancreatic Adenocarcinoma)"
"2090","37659467","Hypoxia promotes immune escape of pancreatic cancer cells by lncRNA NNT-AS1/METTL3-HuR-mediated ITGB1 m6A modification.","ITGB1 m6A modification","regulate","Immune Escape","Pancreatic Cancer Cells","ITGB1 m6A modification","AFFECTS","Immune Escape","PAAD(Pancreatic Adenocarcinoma)"
