"","pmid","title"
"3234","37170591","GPX8 deficiency-induced oxidative stress reprogrammed m6A epitranscriptome of oral cancer cells."
"3237","37171272","Kupffer cell pyroptosis mediated by METTL3 contributes to the progression of alcoholic steatohepatitis."
"3240","37178367","METTL3 suppresses pancreatic ductal adenocarcinoma progression through activating endogenous dsRNA-induced anti-tumor immunity."
"3245","37179374","Short-chain fatty acid-butyric acid ameliorates granulosa cells inflammation through regulating METTL3-mediated N6-methyladenosine modification of FOSL2 in polycystic ovarian syndrome."
"3250","37180836","Variant rs8400 enhances ALKBH5 expression through disrupting miR-186 binding and promotes neuroblastoma progression."
"3254","37182151","The m6A methyltransferase METTL16 inhibits the proliferation of pancreatic adenocarcinoma cancer cells via the p21 signaling pathway."
"3258","37188676","IGF2BP3 promotes adult myocardial regeneration by stabilizing MMP3 mRNA through interaction with m6A modification."
"3263","37189342","Endogenous Glycoprotein GPM6a Is Involved in Neurite Outgrowth in Rat Dorsal Root Ganglion Neurons."
"3265","37191290","HPV E6 promotes cell proliferation of cervical cancer cell by accelerating accumulation of RBM15 dependently of autophagy inhibition."
"3270","37030332","FTO promotes cervical cancer cell proliferation, colony formation, migration and invasion via the regulation of the BMP4/Hippo/YAP1/TAZ pathway."
"3280","37030526","Donor graft METTL3 gene transfer ameliorates rat liver transplantation ischemia-reperfusion injury by enhancing HO-1 expression in an m6A-dependent manner."
"3286","37036576","RUNX1-IT1 favors breast cancer carcinogenesis through regulation of IGF2BP1/GPX4 axis."
"3289","37037089","LncRNA DGUOK-AS1 facilitates non-small cell lung cancer growth and metastasis through increasing TRPM7 stability via m6A modification."
"3293","37037853","Vascular mimicry induced by m6A mediated IGFL2-AS1/AR axis contributes to pazopanib resistance in clear cell renal cell carcinoma."
"3297","37039556","NR3C1/Glucocorticoid receptor activation promotes pancreatic beta-cell autophagy overload in response to glucolipotoxicity."
"3302","37041485","METTL3 enhances dentinogenesis differentiation of dental pulp stem cells via increasing GDF6 and STC1 mRNA stability."
"3308","37048078","Targeted Demethylation of the TGFbeta1 mRNA Promotes Myoblast Proliferation via Activating the SMAD2 Signaling Pathway."
"3313","37050878","FLK Is an mRNA m6A Reader that Regulates Floral Transition by Modulating the Stability and Splicing of FLC in Arabidopsis."
"3318","37053288","N6-methyladenosine reader protein YTHDC1 regulates influenza A virus NS segment splicing and replication."
"3322","37054644","Cobalt induces neurodegeneration through FTO-triggered autophagy impairment by targeting TSC1 in an m6A-YTHDF2-dependent manner."
"3328","37056835","Depletion of the m6A demethylases FTO and ALKBH5 impairs growth and metastatic capacity through EMT phenotype change in clear cell renal cell carcinoma."
"3334","37056926","M6A-modified circRBM33 promotes prostate cancer progression via PDHA1-mediated mitochondrial respiration regulation and presents a potential target for ARSI therapy."
"3341","37056932","IGF2BP3 Regulates TMA7-mediated Autophagy and Cisplatin Resistance in Laryngeal Cancer via m6A RNA Methylation."
"3348","37056933","Cancer-associated fibroblasts promote migration and invasion of non-small cell lung cancer cells via METTL3-mediated RAC3 m6A modification."
"3355","37060505","IGF2BP2 promotes lncRNA DANCR stability mediated glycolysis and affects the progression of FLT3-ITD + acute myeloid leukemia."
"3360","37060562","YTHDF1 phase separation triggers the fate transition of spermatogonial stem cells by activating the IkappaB-NF-kappaB-CCND1 axis."
"3365","37061119","m6A-modification of cyclin D1 and c-myc IRESs in glioblastoma controls ITAF activity and resistance to mTOR inhibition."
"3372","37061993","Metabolic reprogramming driven by IGF2BP3 promotes acquired resistance to EGFR inhibitors in non-small cell lung cancer."
"3376","37063837","LRPPRC facilitates tumor progression and immune evasion through upregulation of m6A modification of PD-L1 mRNA in hepatocellular carcinoma."
"3382","37065597","YTHDC2-mediated m6A mRNA modification of Id3 suppresses cisplatin resistance in non-small cell lung cancer."
"3386","37072102","The deficiency of N6-methyladenosine demethylase ALKBH5 enhances the neurodegenerative damage induced by cobalt."
"3389","37074506","FTO overexpression expedites wound healing and alleviates depression in burn rats through facilitating keratinocyte migration and angiogenesis via mediating TFPI-2 demethylation."
"3397","37076497","LncRNA UCA1 promotes keratinocyte-driven inflammation via suppressing METTL14 and activating the HIF-1alpha/NF-kappaB axis in psoriasis."
"3403","37076815","KIAA1429-mediated m6A modification of CHST11 promotes progression of diffuse large B-cell lymphoma by regulating Hippo-YAP pathway."
"3409","37080415","FTO-stabilized miR-139-5p targets ZNF217 to suppress prostate cancer cell malignancies by inactivating the PI3K/Akt/mTOR signal pathway."
"3415","37085864","METTL3 facilitates immunosurveillance by inhibiting YTHDF2-mediated NLRC5 mRNA degradation in endometrial cancer."
"3420","37086786","O-GlcNAcylation promotes the cytosolic localization of the m6A reader YTHDF1 and colorectal cancer tumorigenesis."
"3425","37088992","METTL3 affects FLT3-ITD+ acute myeloid leukemia by mediating autophagy by regulating PSMA3-AS1 stability."
"3430","37092305","m6A-modification regulated circ-CCT3 acts as the sponge of miR-378a-3p to promote hepatocellular carcinoma progression."
"3434","36939388","The m6A reader YTHDF2 promotes bladder cancer progression by suppressing RIG-I-mediated immune response."
"3439","36943192","Role of miR-124-3p in regulatory mechanisms of Gpm6a expression in the hippocampus of chronically stressed rats."
"3441","36944332","m6A-driven SF3B1 translation control steers splicing to direct genome integrity and leukemogenesis."
"3444","36945110","METTL3-mediated m6A modification of HMGA2 mRNA promotes subretinal fibrosis and epithelial-mesenchymal transition."
"3449","36949231","A novel MYCN-YTHDF1 cascade contributes to retinoblastoma tumor growth by eliciting m6A -dependent activation of multiple oncogenes."
"3454","36950992","Exosomal circCLIP1 regulates PM2.5-induced airway obstruction via targeting SEPT10 in vitro."
"3458","36958694","m6A RNA methylation-mediated upregulation of HLF promotes intrahepatic cholangiocarcinoma progression by regulating the FZD4/beta-catenin signaling pathway."
"3463","36959603","Suxiao Jiuxin Pill alleviates myocardial ischemia-reperfusion injury through the ALKBH5/GSK3beta/mTOR pathway."
"3467","36960869","METTL3/YTHDF2 m6A axis promotes the malignant progression of bladder cancer by epigenetically suppressing RRAS."
"3471","36973285","Rewired m6A epitranscriptomic networks link mutant p53 to neoplastic transformation."
"3474","36977205","METTL3 relieved the injury of SH-SY5Y cells treated with lipopolysaccharide and exposed to sevoflurane through regulating the m6A levels of Sox2."
"3479","36977668","METTL3 enhances pancreatic ductal adenocarcinoma progression and gemcitabine resistance through modifying DDX23 mRNA N6 adenosine methylation."
"3486","36980863","TNC Accelerates Hypoxia-Induced Cardiac Injury in a METTL3-Dependent Manner."
"3496","36992945","N6-methyladenosine reader YTHDF1 regulates the proliferation and migration of airway smooth muscle cells through m6A/cyclin D1 in asthma."
"3503","36999803","PLAGL2 promotes Snail expression and gastric cancer progression via UCA1/miR-145-5p/YTHDF1 axis."
"3507","37003532","Targeted m6A demethylation of ITGA6 mRNA by a multisite dCasRx-m6A editor inhibits bladder cancer development."
"3512","37003652","FTO regulates the DNA damage response via effects on cell-cycle progression."
"3516","37009154","m6A reader IGF2BP1 accelerates apoptosis of high glucose-induced vascular endothelial cells in a m6A-HMGB1 dependent manner."
"3521","37010483","WTAP-Mediated m6A RNA Methylation Regulates the Differentiation of Bone Marrow Mesenchymal Stem Cells via the miR-29b-3p/HDAC4 Axis."
"3526","37012388","N6-methyladenosine reader YTHDF2 promotes multiple myeloma cell proliferation through EGR1/p21cip1/waf1/CDK2-Cyclin E1 axis-mediated cell cycle transition."
"3530","37013774","METTL3-mediated downregulation of splicing factor SRSF11 is associated with carcinogenesis and poor survival of cancer patients."
"3533","37019244","WTAP promotes macrophage recruitment and increases VEGF secretion via N6-methyladenosine modification in corneal neovascularization."
"3539","36855062","Lactoferrin suppresses the progression of colon cancer under hyperglycemia by targeting WTAP/m6A/NT5DC3/HKDC1 axis."
"3546","36857977","METTL3-mediated m6A methylation regulates granulosa cells autophagy during follicular atresia in pig ovaries."
"3550","36859428","Inhibition of ALKBH5 attenuates I/R-induced renal injury in male mice by promoting Ccl28 m6A modification and increasing Treg recruitment."
"3556","36860124","N6-methyladenosine-modified DBT alleviates lipid accumulation and inhibits tumor progression in clear cell renal cell carcinoma through the ANXA2/YAP axis-regulated Hippo pathway."
"3564","36860916","Erianin Induces Ferroptosis of Renal Cancer Stem Cells via Promoting ALOX12/P53 mRNA N6-methyladenosine Modification."
"3572","36864027","N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice."
"3576","36864711","LINC00659 cooperated with ALKBH5 to accelerate gastric cancer progression by stabilising JAK1 mRNA in an m6 A-YTHDF2-dependent manner."
"3584","36865750","METTL3 Promotes Endothelium-Mesenchymal Transition of Pulmonary Artery Endothelial Cells by Regulating TRPC6/Calcineurin/NFAT Signaling Pathways."
"3588","36873555","N6-methyladenosine (m6A) writer METTL3 accelerates the apoptosis of vascular endothelial cells in high glucose."
"3590","36873735","METTL14 Regulates PLAGL2/beta-Catenin Signaling Axis to Promote the Development of Nonsmall Cell Lung Cancer."
"3593","36874096","Targeting fat mass and obesity-associated protein mitigates human colorectal cancer growth in vitro and in a murine model."
"3596","36876119","m6A demethylase ALKBH5 attenuates doxorubicin-induced cardiotoxicity via posttranscriptional stabilization of Rasal3."
"3600","36877222","Silencing m6A Reader YTHDC1 reduces inflammatory response in sepsis-induced cardiomyopathy by inhibiting SERPINA3N expression."
"3605","36878272","FTO-Nrf2 axis regulates bisphenol F-induced leydig cell toxicity in an m6A-YTHDF2-dependent manner."
"3610","36878846","METTL14 promotes fibroblast-like synoviocytes activation via the LASP1/SRC/AKT axis in RA."
"3614","36881554","Loss of the m6A methyltransferase METTL3 in monocyte-derived macrophages ameliorates Alzheimer's disease pathology in mice."
"3617","36892464","Nuclear m6A reader YTHDC1 promotes muscle stem cell activation/proliferation by regulating mRNA splicing and nuclear export."
"3623","36894806","m6A methyltransferase WTAP regulates myocardial ischemia reperfusion injury through YTHDF1/FOXO3a signaling."
"3627","36899424","RNA demethylase ALKBH5 promotes tumorigenesis of t (8;21) acute myeloid leukemia via ITPA m6A modification."
"3632","36915895","The role and mechanism of JAK2/STAT3 signaling pathway regulated by m6A methyltransferase KIAA1429 in osteosarcoma."
"3634","36916936","YTHDF2 Is Downregulated in Response to Host Shutoff Induced by DNA Virus Infection and Regulates Interferon-Stimulated Gene Expression."
"3639","36917263","METTL3 promotes proliferation of goat endometrial epithelial cells by regulating CTGF in an m6A-dependent manner."
"3644","36917877","N6-methyladenosine mediates Nrf2 protein expression involved in PM2.5-induced pulmonary fibrosis."
"3647","36918410","FTO-mediated m6A modification promotes malignant transformation of gastric mucosal epithelial cells in chronic Cag A+ Helicobacter pylori infection."
"3651","36918845","Attenuation of IFN signaling due to m6A modification of the host epitranscriptome promotes EBV lytic reactivation."
"3655","36920907","METTL3-mediated m6A mRNA methylation regulates neutrophil activation through targeting TLR4 signaling."
"3661","36924977","Mettl3-mediated transcriptome-wide m6A methylation induced by cigarette smoking in human bronchial epithelial cells."
"3664","36932115","Hypoxia-responsive PPARGC1A/BAMBI/ACSL5 axis promotes progression and resistance to lenvatinib in hepatocellular carcinoma."
"3669","36932387","Exosome-derived circCCAR1 promotes CD8 + T-cell dysfunction and anti-PD1 resistance in hepatocellular carcinoma."
"3672","36932427","METTL3 promotes chemoresistance in small cell lung cancer by inducing mitophagy."
"3676","36933158","lncRNA miR4458HG modulates hepatocellular carcinoma progression by activating m6A-dependent glycolysis and promoting the polarization of tumor-associated macrophages."
"3684","36779260","Analyzing the mechanism by which oyster peptides target IL-2 in melanoma cell apoptosis based on RNA-seq and m6A-seq."
"3687","36780989","YTHDC1 maintains trophoblasts function by promoting degradation of mA6-modified circMPP1."
"3690","36781839","m6A-modified circRNA MYO1C participates in the tumor immune surveillance of pancreatic ductal adenocarcinoma through m6A/PD-L1 manner."
"3696","36788604","Decreased ubiquitin modifying enzyme A20 associated with hyper-responsiveness to ovalbumin challenge following intrauterine growth restriction."
"3700","36790471","The m6A methyltransferase METTL3 affects cell proliferation and migration by regulating YAP expression in Hirschsprung disease."
"3706","36792603","Long noncoding RNA ENST00000436340 promotes podocyte injury in diabetic kidney disease by facilitating the association of PTBP1 with RAB3B."
"3713","36793308","METTL3 promotes SMSCs chondrogenic differentiation by targeting the MMP3, MMP13, and GATA3."
"3721","36794723","Structure of the Caenorhabditis elegans m6A methyltransferase METT10 that regulates SAM homeostasis."
"3723","36795489","The m6A methyltransferase METTL16 negatively regulates MCP1 expression in mesenchymal stem cells during monocyte recruitment."
"3725","36801705","Ythdf2 promotes pulmonary hypertension by suppressing Hmox1-dependent anti-inflammatory and antioxidant function in alveolar macrophages."
"3730","36801892","Targeting the m6A mRNA demethylase FTO suppresses vascular endothelial growth factor release and choroidal neovascularization."
"3734","36803098","RBM15 suppresses hepatic insulin sensitivity of offspring of gestational diabetes mellitus mice via m6A-mediated regulation of CLDN4."
"3739","36806557","N6-methyadenosine modified SUV39H2 regulates homologous recombination through epigenetic repression of DUSP6 in gastric cancer."
"3744","36811004","Splice site m6A methylation prevents binding of DGCR8 to suppress KRT4 pre-mRNA splicing in oral squamous cell carcinoma."
"3749","36812496","MALAT-1 regulates the AML progression by promoting the m6A modification of ZEB1."
"3754","36813093","m6A methylation-induced NR1D1 ablation disrupts the HSC circadian clock and promotes hepatic fibrosis."
"3758","36814156","MiR-141-3p promotes malignant progression in prostate cancer through AlkB homolog 5-mediated m6A modification of protein arginine methyltransferase 6."
"3764","36814345","Retraction Note: m6A mRNA methylation initiated by METTL3 directly promotes YAP translation and increases YAP activity by regulating the MALAT1-miR-1914-3p-YAP axis to induce NSCLC drug resistance and metastasis."
"3771","36815224","N6-methyladenosine methylation regulator FTO promotes oxidative stress and induces cell apoptosis in ovarian cancer."
"3774","36819785","The Effect of N6-Methyladenosine Regulators and m6A Reader YTHDC1-Mediated N6-Methyladenosine Modification Is Involved in Oxidative Stress in Human Aortic Dissection."
"3778","36820954","ALKBH5 decreases SLC7A11 expression by erasing m6A modification and promotes the ferroptosis of colorectal cancer cells."
"3783","36822223","The ameliorative effect of CangFu Daotan Decoction on polycystic ovary syndrome of rodent model is associated with m6A methylation and Wnt/beta-catenin pathway."
"3789","36828914","N6-Methyladenosine-modified circSAV1 triggers ferroptosis in COPD through recruiting YTHDF1 to facilitate the translation of IREB2."
"3795","36831430","RBM15 Promates the Proliferation, Migration and Invasion of Pancreatic Cancer Cell Lines."
"3799","36840486","METTL3 enhances the effect of YTHDF1 on NEDD1 mRNA stability by m6A modification in diffuse large B-cell lymphoma cells."
"3804","36840945","METTL16 promotes translation and lung tumorigenesis by sequestering cytoplasmic eIF4E2."
"3807","36845072","Osthole regulates N6-methyladenosine-modified TGM2 to inhibit the progression of rheumatoid arthritis and associated interstitial lung disease."
"3812","36849408","WTAP regulates autophagy in colon cancer cells by inhibiting FLNA through N6-methyladenosine."
"3817","36851875","ALKBH5-induced circRNA NRIP1 promotes glycolysis in thyroid cancer cells by targeting PKM2."
"3823","36690262","WTAP contributes to the tumorigenesis of osteosarcoma via modulating ALB in an m6A-dependent manner."
"3828","36691046","CCL3 secreted by hepatocytes promotes the metastasis of intrahepatic cholangiocarcinoma by VIRMA-mediated N6-methyladenosine (m6A) modification."
"3832","36691477","N6-methyladenosine (m6A) reader IGF2BP1 facilitates clear-cell renal cell carcinoma aerobic glycolysis."
"3836","36693099","METTL3 is essential for normal progesterone signaling during embryo implantation via m6A-mediated translation control of progesterone receptor."
"3841","36693492","m6A reader HNRNPA2B1 destabilization of ATG4B regulates autophagic activity, proliferation and olaparib sensitivity in breast cancer."
"3849","36700472","N6-methyladenine- induced LINC00667 promoted breast cancer progression through m6A/KIAA1429 positive feedback loop."
"3854","36705046","ALKBH5 inhibits the SIRT3/ACC1 axis to regulate fatty acid metabolism via a m6A-IGF2BP1-dependent manner in cervical squamous cell carcinoma."
"3859","36705430","METTL3 potentiates osteogenic differentiation of bone marrow mesenchymal stem cells via IGF2BP1/m6A/RUNX2."
"3865","36709989","m6 A mRNA methylation in human brain is disrupted in Lewy body disorders."
"3867","36711243","MAEL gene contributes to bovine testicular development through the m5C-mediated splicing."
"3871","36711495","Light and temperature regulate m 6 A-RNA modification to regulate growth in plants."
"3875","36717220","Targeting m6A reader YTHDF1 augments antitumour immunity and boosts anti-PD-1 efficacy in colorectal cancer."
"3878","36718950","HNRNPC suppresses tumor immune microenvironment by activating Treg cells promoting the progression of prostate cancer."
"3883","36719469","m6A writer WTAP targets NRF2 to accelerate bladder cancer malignancy via m6A-dependent ferroptosis regulation."
"3888","36722312","The m6A reader YTHDC1 regulates muscle stem cell proliferation via PI4K-Akt-mTOR signalling."
"3892","36725888","METTL3 regulates breast cancer-associated alternative splicing switches."
"3895","36736530","IGF2BP1-mediated N6-methyladenosine modification promotes intrahepatic cholangiocarcinoma progression."
"3898","36739042","YTHDF2 controls hexavalent chromium-induced mitophagy through modulating Hif1alpha and Bnip3 decay via the m6A/mRNA pathway in spermatogonial stem cells/progenitors."
"3905","36739231","Overexpressed ZC3H13 suppresses papillary thyroid carcinoma growth through m6A modification-mediated IQGAP1 degradation."
"3910","36750551","RBM3 suppresses stemness remodeling of prostate cancer in bone microenvironment by modulating N6-methyladenosine on CTNNB1 mRNA."
"3915","36752613","Heterogeneous Nuclear Protein U Degraded the m6A Methylated TRAF3 Transcript by YTHDF2 To Promote Porcine Epidemic Diarrhea Virus Replication."
"3921","36754578","The catalytic-dead Pcif1 regulates gene expression and fertility in Drosophila."
"3924","36755057","METTL3 stabilization by PIN1 promotes breast tumorigenesis via enhanced m6A-dependent translation."
"3929","36760238","The m6A demethylase FTO promotes keloid formation by up-regulating COL1A1."
"3932","36762777","Metformin attenuates multiple myeloma cell proliferation and encourages apoptosis by suppressing METTL3-mediated m6A methylation of THRAP3, RBM25, and USP4."
"3946","36764493","M6A-mediated upregulation of FZD10 regulates liver cancer stem cells properties and lenvatinib resistance through WNT/beta-catenin and Hippo signaling pathways."
"3956","36765030","O-GlcNAcylation of YTHDF2 promotes HBV-related hepatocellular carcinoma progression in an N6-methyladenosine-dependent manner."
"3961","36765397","METTL3 depletion contributes to tumour progression and drug resistance via N6 methyladenosine-dependent mechanism in HR+HER2-breast cancer."
"3967","36765911","F-Box Protein 43, Stabilized by N6-Methyladenosine Methylation, Enhances Hepatocellular Carcinoma Cell Growth and Invasion via Promoting p53 Degradation in a Ubiquitin Conjugating Enzyme E2 C-Dependent Manner."
"3975","36608679","METTL16 drives leukemogenesis and leukemia stem cell self-renewal by reprogramming BCAA metabolism."
"3981","36608773","METTL3 alleviates D-gal-induced renal tubular epithelial cellular senescence via promoting miR-181a maturation."
"3987","36608868","RBM10 recruits METTL3 to induce N6-methyladenosine-MALAT1-dependent modification, inhibiting the invasion and migration of NSCLC."
"3992","36609396","The N6-methyladenosine METTL3 regulates tumorigenesis and glycolysis by mediating m6A methylation of the tumor suppressor LATS1 in breast cancer."
"3999","36609444","A potassium-chloride co-transporter promotes tumor progression and castration resistance of prostate cancer through m6A reader YTHDC1."
"4006","36609501","ALKBH5 alleviates hypoxia postconditioning injury in D-galactose-induced senescent cardiomyocytes by regulating STAT3."
"4010","36628934","FTO demethylates m6A modifications in CDKAL1 mRNA and promotes gastric cancer chemoresistance by altering mitochondrial dynamics."
"4016","36632222","ALKBH5 activates FAK signaling through m6A demethylation in ITGB1 mRNA and enhances tumor-associated lymphangiogenesis and lymph node metastasis in ovarian cancer."
"4022","36632449","Inhibition of IGF2BP1 attenuates renal injury and inflammation by alleviating m6A modifications and E2F1/MIF pathway."
"4032","36632454","Stabilization of IGF2BP1 by USP10 promotes breast cancer metastasis via CPT1A in an m6A-dependent manner."
"4038","36634204","The RNA m6A reader YTHDF1 is required for acute myeloid leukemia progression."
"4040","36639675","STRIP2 motivates non-small cell lung cancer progression by modulating the TMBIM6 stability through IGF2BP3 dependent."
"4045","36639869","ABRO1 arrests postnatal cardiomyocyte proliferation and myocardial repair by blocking N6-methyladenosine methylation and expression of PSPH."
"4054","36642058","Suppression of YTHDF2 attenuates autoimmune hepatitis by expansion of myeloid-derived suppressor cells."
"4058","36642844","Non-SMC condensin I complex subunit H participates in anti-programmed cell death-1 resistance of clear cell renal cell carcinomas."
"4060","36645573","N6-methyladenosine writer METTL3 accelerates the sepsis-induced myocardial injury by regulating m6A-dependent ferroptosis."
"4065","36647682","YTHDF1 enhances chondrogenic differentiation by activating the Wnt/beta-catenin signaling pathway."
"4069","36648699","LncRNA CRNDE binds hnRNPA1 to facilitate carbon monoxide poisoning-induced delayed encephalopathy via inhibiting UCHL5-mediated SMO deubiquitination."
"4074","36650131","WTAP-mediated m6A modification modulates bone marrow mesenchymal stem cells differentiation potential and osteoporosis."
"4078","36650153","Tumor-intrinsic YTHDF1 drives immune evasion and resistance to immune checkpoint inhibitors via promoting MHC-I degradation."
"4083","36653190","USP1/UAF1-stabilized METTL3 promotes reactive astrogliosis and improves functional recovery after spinal cord injury through m6A modification of YAP1 mRNA."
"4091","36656457","METTL3-Mediated N6-Methyladenosine Modification of lncRNA D26496 Suppresses the Proliferation and Migration of Schwann Cells after Sciatic Nerve Injury."
"4096","36657656","IGFBP3 epigenetic promotion induced by METTL3 boosts cardiac fibroblast activation and fibrosis."
"4100","36658237","YTHDF2 orchestrates tumor-associated macrophage reprogramming and controls antitumor immunity through CD8+ T cells."
"4105","36662856","Lnc956 regulates mouse embryonic stem cell differentiation in response to DNA damage in a p53-independent pathway."
"4109","36670199","YTHDF2 in dentate gyrus is the m6A reader mediating m6A modification in hippocampus-dependent learning and memory."
"4112","36681189","YTH domain family 2 (YTHDF2) regulates cell growth and cycle by facilitating KDM1A mRNA stability."
"4118","36681355","N6-methylation of RNA-bound adenosine regulator HNRNPC promotes vascular endothelial dysfunction in type 2 diabetes mellitus by activating the PSEN1-mediated Notch pathway."
"4123","36683086","METTL3 knockdown promotes temozolomide sensitivity of glioma stem cells via decreasing MGMT and APNG mRNA stability."
"4130","36685533","m6A eraser FTO modulates autophagy by targeting SQSTM1/P62 in the prevention of canagliflozin against renal fibrosis."
"4133","36536495","Artemisitene suppresses rheumatoid arthritis progression via modulating METTL3-mediated N6-methyladenosine modification of ICAM2 mRNA in fibroblast-like synoviocytes."
"4139","36538851","Overexpression of FTO alleviates osteoarthritis by regulating the processing of miR-515-5p and the TLR4/MyD88/NF-kappaB axis."
"4145","36542845","HDAC1 overexpression promoted by METTL3-IGF2BP2 inhibits FGF21 expression in metabolic syndrome-related liver injury."
"4149","36545239","Intrathecal administration of the fat-mass and obesity-associated protein inhibitor mitigates neuropathic pain in female rats."
"4151","36546578","METTL3 is aberrantly expressed in endometriosis and suppresses proliferation, invasion, and migration of endometrial stromal cells."
"4155","36550542","The YTHDF1-TRAF6 pathway regulates the neuroinflammatory response and contributes to morphine tolerance and hyperalgesia in the periaqueductal gray."
"4159","36551532","GMEB2 Promotes the Growth of Colorectal Cancer by Activating ADRM1 Transcription and NF-kappaB Signalling and Is Positively Regulated by the m6A Reader YTHDF1."
"4166","36555401","m6A-Mediated PPARA Translational Suppression Contributes to Corticosterone-Induced Visceral Fat Deposition in Chickens."
"4170","36555463","The N6-Methyladenosine Regulator ALKBH5 Mediated Stromal Cell-Macrophage Interaction via VEGF Signaling to Promote Recurrent Spontaneous Abortion: A Bioinformatic and In Vitro Study."
"4175","36555481","METTL3 Regulates the Inflammatory Response in CPB2 Toxin-Exposed IPEC-J2 Cells through the TLR2/NF-kappaB Signaling Pathway."
"4178","36564065","METTL3-Mediated N6-Methyladenosine Methylation Modifies Foxp3 mRNA Levels and Affects the Treg Cells Proportion in Peripheral Blood of Patients with Asthma."
"4183","36566000","ALKBH5 attenuates mitochondrial fission and ameliorates liver fibrosis by reducing Drp1 methylation."
"4188","36566195","RNA N6-methyladenosine modification mediates downregulation of NR4A1 to facilitate malignancy of cervical cancer."
"4191","36566230","ALKBH5 promotes PD-L1-mediated immune escape through m6A modification of ZDHHC3 in glioma."
"4197","36574062","The m6A reader YTHDC2 promotes SIRT3 expression by reducing the stabilization of KDM5B to improve mitochondrial metabolic reprogramming in diabetic peripheral neuropathy."
"4202","36575317","Transcription factor YY1 mediates self-renewal of glioblastoma stem cells through regulation of the SENP1/METTL3/MYC axis."
"4206","36576581","LINC01615 maintains cell survival in adaptation to nutrient starvation through the pentose phosphate pathway and modulates chemosensitivity in colorectal cancer."
"4210","36581942","lncRNA ZNRD1-AS1 promotes malignant lung cell proliferation, migration, and angiogenesis via the miR-942/TNS1 axis and is positively regulated by the m6A reader YTHDC2."
"4219","36584783","METTL14 alleviates the development of osteoporosis in ovariectomized mice by upregulating m6A level of SIRT1 mRNA."
"4224","36585228","[N6-methyladenosine (m6A) binding protein hnRNPA2B1 is highly expressed in a variety of tumors and regulates tumor immune microenvironment]."
"4227","36586770","WTAP-mediated m6A modification on circCMTM3 inhibits hepatocellular carcinoma ferroptosis by recruiting IGF2BP1 to increase PARK7 stability."
"4234","36587923","KDM1A-mediated upregulation of METTL3 ameliorates Alzheimer's disease via enhancing autophagic clearance of p-Tau through m6A-dependent regulation of STUB1."
"4240","36591524","BTG2 suppresses renal cell carcinoma progression through N6-methyladenosine."
"4245","36451259","Bisphenol A exposure induces testicular oxidative damage via FTO/m6A/Nrf2 axis during postnatal development in mice."
"4249","36451863","m6A reader hnRNPA2B1 drives multiple myeloma osteolytic bone disease."
"4251","36457846","IGF2BP3 is an essential N6-methyladenosine biotarget for suppressing ferroptosis in lung adenocarcinoma cells."
"4254","36458690","Demethylase FTO promotes neuropathic pain development via regulating the m6A methylation levels of CXCR3."
"4259","36461116","m6A demethylase FTO regulate CTNNB1 to promote adipogenesis of chicken preadipocyte."
"4262","36461592","m(6)A methyltransferase METTL3 relieves cognitive impairment of hyperuricemia mice via inactivating MyD88/NF-kappaB pathway mediated NLRP3-ASC-Caspase1 inflammasome."
"4267","36463205","The mechanism of BUD13 m6A methylation mediated MBNL1-phosphorylation by CDK12 regulating the vasculogenic mimicry in glioblastoma cells."
"4273","36463391","m6A 'writer' KIAA1429 regulates the proliferation and migration of endothelial cells in atherosclerosis."
"4276","36468944","The long non-coding RNA MEG3 inhibits oral squamous cell carcinoma progression via GATA3."
"4280","36471428","A functional loop between YTH domain family protein YTHDF3 mediated m6A modification and phosphofructokinase PFKL in glycolysis of hepatocellular carcinoma."
"4285","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib."
"4292","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10."
"4299","36478193","Silencing of IRF8 Mediated by m6A Modification Promotes the Progression of T-Cell Acute Lymphoblastic Leukemia."
"4302","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation."
"4309","36484368","N6-methyladenosine-induced long non-coding RNA PVT1 regulates the miR-27b-3p/BLM axis to promote prostate cancer progression."
"4313","36484954","Fear stress promotes glioma progression through inhibition of ferroptosis by enhancing FSP1 stability."
"4318","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner."
"4325","36512307","YBX1 regulates the survival of chronic myeloid leukemia stem cells by modulating m6A-mediated YWHAZ stability."
"4330","36513634","SMOC2 promotes aggressive behavior of fibroblast-like synoviocytes in rheumatoid arthritis through transcriptional and post-transcriptional regulating MYO1C."
"4334","36516773","Chromatin-associated YTHDC1 coordinates heat-induced reprogramming of gene expression."
"4337","36517319","METTL3 and METTL14-mediated N6-methyladenosine modification promotes cell proliferation and invasion in a model of endometriosis."
"4342","36518278","METTL16-mediated translation of CIDEA promotes non-alcoholic fatty liver disease progression via m6A-dependent manner."
"4347","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1."
